,320,340,360,380,400,420,440,460,480,500
0.01,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
0.02,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
0.03,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
0.04,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.05,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
0.08,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
0.09,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
0.1,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
